,text,summary
150,"Негодяй нарисовал на монументе фашистскую символику в день годовщины победы в Великой Отечественной войне. Как уже сообщал “МК”, к памятнику погибшим воинам при исполнении воинского долга, расположенному на проспекте Красной Армии, 18-летний подвыпивший молодчик пришел рано утром. С собой юноша (он учился на кондитера) прихватил красящий аэрозоль, с помощью которого “украсил” торцевую часть нецензурными выражениями из сленга футбольных фанатов. Там же негодяй оставил надписи националистического характера, нарисовал рядом фашистскую символику и знак нацистской службы “СС” в виде двух скрещенных молний. На плитке памятника появилась фашистская свастика, кельтский крест и надпись “А.С.А.В.” (“all cops are bastards”). Эта аббревиатура является интернациональным оскорбительным выражением для сотрудников правоохранительных органов всех стран. После этого довольный собой молодчик отправился домой, где его и задержали стражи порядка. В Мособлпрокуратуре пояснили, что Сергиево-Посадский суд признал паренька виновным. Поскольку тот раскаялся в содеянном, ему было назначено наказание в виде 1,5 года лишения свободы условно.","На плитке памятника появилась фашистская свастика, кельтский крест и надпись “А.С.А.В.” (“all cops are bastards”). В Мособлпрокуратуре пояснили, что Сергиево-Посадский суд признал паренька виновным. После этого довольный собой молодчик отправился домой, где его и задержали стражи порядка. "
151,"В воскресенье средь бела дня неизвестный мужчина вынес из мехового салона пять норковых шуб и теплую куртку, перед этим выманив продавщицу в туалет. Как удалось узнать “МК”, около полудня в магазин мехов на Остоженке зашел мужчина, предположительно кавказской национальности. Однако вместо того чтобы присмотреть себе шубу, посетитель смущенно попросил у продавщицы воспользоваться санузлом. Женщина не усмотрела в этой просьбе ничего предосудительного и показала клиенту дорогу. Через несколько минут он вышел из уборной и поведал сотруднице, что у них неисправна сантехника и вода сейчас зальет помещение. Доверчивая дама кинулась в туалет. Посетитель, удостоверившись, что остался один, схватил пять норковых шуб и одну куртку и выбежал с ними из магазина. Когда барышня вернулась в зал и обнаружила пропажу, любитель мехов уже скрылся из виду. Судя по всему, на выходе в автомобиле его ждал сообщник. Аферисты погрузили ценную поклажу в салон и быстро рванули с места преступления. Сейчас устанавливается ущерб, нанесенный магазину, и ведутся поиски воришек. К слову, неподалеку от злополучной торговой точки находится другой меховой салон с более широким ассортиментом. Видимо, покуситься на него преступники не решились.","В воскресенье средь бела дня неизвестный мужчина вынес из мехового салона пять норковых шуб и теплую куртку, перед этим выманив продавщицу в туалет. Видимо, покуситься на него преступники не решились. Доверчивая дама кинулась в туалет. "
152,"Как сообщили “МК” в следственном отделе по Зюзинскому району СУ СК при Прокуратуре РФ по Москве, неприятная история произошла с 19-летним московским студентом Александром. 11 августа молодой человек весело провел время во дворе с друзьями. Посиделки не обошлись без спиртного. А вернувшись домой, юноша заскучал. Не найдя ничего интересного в Интернете, около часа ночи Саша вышел на свой балкон на седьмом этаже — поинтересоваться, что происходит на улице. И в это время ему в голову пришла идея подглядеть, что происходит дома у соседей. Юноша знал, что те в отъезде, и решил в их отсутствие тщательно изучить их быт. Александр по перилам перелез на чужой балкон, затем проник в жилище соседей и начал свою неспешную прогулку по квартире. Здесь юношу ожидал сюрприз. В одной из комнат на диване он увидел… спящую незнакомку. Эту 59-летнюю даму владельцы жилья попросили присмотреть за жильем в свое отсутствие. Женщина проснулась от шума и, увидев молодого незнакомца с обнаженным торсом, вскочила. Александр опрометью бросился из квартиры, а “сторожиха” кинулась в погоню. Парень выбежал на лестничную клетку и укрылся за мусоропроводом. Тем временем мать юноши разыскивала сына, но юноша вернулся домой только после того, как его преследовательница ушла. Молодому человеку пришлось ответить перед законом за нарушение неприкосновенности жилища. Судья мирового участка №19 приговорил юношу к штрафу.","Как сообщили “МК” в следственном отделе по Зюзинскому району СУ СК при Прокуратуре РФ по Москве, неприятная история произошла с 19-летним московским студентом Александром. А вернувшись домой, юноша заскучал. Юноша знал, что те в отъезде, и решил в их отсутствие тщательно изучить их быт. "
153,"Министерство обороны делает ставку в “армии будущего” на сержантов и обещает, что уже через два года российские войска изменятся до неузнаваемости. О том, как готовят “надежду современной армии”, корреспондент “МК” узнал, побывав в открытом всего полгода назад центре для подготовки профессиональных сержантов на базе рязанского училища ВДВ. О том, что ждет нашу армию, рассказали сами будущие сержанты. “В наших Вооруженных силах создается учебный центр для подготовки профессиональных сержантов на базе рязанского училища ВДВ. Я являюсь военнослужащим, желающим туда поступить и учиться. Но в процессе отбора был неоднократно обманут. Причем таких, как я, 100% кандидатов…” Такое письмо министру обороны и на сайт Президента РФ направили несколько человек, приехавших в сентябре того года в Рязань. Они жаловались на неразбериху, на то, что их загнали в казармы, не выплачивают денег и обращаются с ними, как с солдатами, хотя многие имеют семьи и побывали в “горячих точках”. Чтобы как-то исправить создавшееся положение, заняться сержантами поручили Главному управлению боевой подготовки Минобороны. И вот наконец недавно ведомство осмелилось показать результаты своей работы журналистам, среди которых был и спецкор “МК”. — Пятьсот один, пятьсот два, пятьсот три — кольцо! Пятьсот четыре, пятьсот пять — купол! — хором твердили курсанты, подвешенные на стапеле, имитирующем парашют. На улице в этот день было минус 25. Несмотря на холод висящие люди уже с полчаса обхватывали себя толстыми варежками, поджимали ноги в коротких валенках, бросали руки в стороны, обращаясь лицом к небу… При этом они не переставали хором читать свою “молитву” из цифр. Рядом занимались те, кто, видимо, уже несколько дальше продвинулся в парашютном деле. Они скользили на стропах по железному желобу сверху вниз, где для страховки их ловили командиры. Одним из прилетевших сверху оказался Константин из Иркутска. Он рассказал, что до этого отслужил полтора года в Хабаровском крае в авиационном гарнизоне Перьясловка-2. Здесь, в центре, его будущая специальность — связист — старший техник аппарата канала образования и шифрования. — Зачем с такой специальностью прыжки? — спросила я. — Мы проходим общевойсковую подготовку в том числе и по программе ВДВ. Я уже 4 раза с парашютом прыгнул. С детства мечтал попасть в ВДВ. О ВДВ здесь все говорят с придыханием. Единственный в стране центр подготовки сержантов создали именно на базе десантного училища, хотя официально подчинен он сухопутчикам и сержантов здесь готовят в основном для них. Поговаривают, что и сами десантные войска вскоре сократят и передадут в подчинение главкомату Сухопутных войск в виде сил быстрого реагирования. Так что, возможно, через 2 года и 10 месяцев — к тому времени, как будущие сержанты закончат учебу, — исчезнет даже сама аббревиатура “ВДВ”. — Ты слышал, что поначалу некоторые ребята даже президенту жаловались? Они писали, что у вас тут сплошной обман и неразбериха. Сейчас что-то изменилось? — Да. Летом тут народ собрали, а что с ним делать, не знали. Программ обучения не было. Но теперь все нормально. Мне даже нравится. Неразбериха, похоже, случилась потому, что по плану реформы военного образования три рязанских училища — связи, автомобильное и ВДВ, при котором создавался сержантский центр, — приказано было слить в одно. Пока штаты офицеров резали, все находились в подвешенном состоянии, и до сержантов никому не было дела. Теперь ситуация более-менее утряслась. Создан единый вуз, где один из пяти факультетов — центр подготовки сержантов. Название вуза осталось старым — Высшее рязанское воздушно-десантное командное училище, а вот специальности в нем новые. — Там, где раньше для ВДВ мы выпускали специалистов многоцелевых гусеничных машин — инженеров по эксплуатации автотранспортной техники, — пояснил мне один грустный подполковник, — теперь по стандартами “нового облика” мы будем готовить специалистов по управлению персоналом с дипломами менеджеров (вторая специальность — “перевод и переводоведение”). — Вы шутите? — не поверила я. — Ничуть. — Это ж бред какой-то, сюрреализм: менеджеры ВДВ! — У нас говорят: нет задач невыполнимых, есть десантные войска, — поставил точку подполковник и зашагал в сторону плаката, где крупными буквами было написано: “Кто обидит Россию, тот будет иметь дело с ВДВ”. — Устаревший плакат, — крикнула я ему вдогонку, — надо написать по-новому: “Кто обидит Россию, тот будет иметь дело с менеджерами ВДВ”. Подполковник не обернулся, а один из сержантов засмеялся. Что ж, сержантам можно веселиться, теперь они — надежда армии и любимчики Минобороны. Правда, поначалу планировалось, что их будет в 5 раз больше, но крепкие объятия военного ведомства выдержали не все. Ребята рассказали, что в рязанский центр собирались набрать 1700 курсантов. Для этого по всей стране и в войсках, и через военкоматы отобрали 9000 желающих. Чтобы выполнить план набора, им обещали золотые горы: и собственное жилье, и большие деньги, и службу исключительно в десантных войсках… На это клюнули многие. Правда, большинство отсеялось сразу же на местах: кто-то оказался не годен по здоровью, кто-то — по уровню знаний. Затем тех, кто попал в кандидаты не с “гражданки”, а из войск, по приказу министра обороны вернули обратно — из частей пошло много жалоб, что забрали лучших. В результате из 9000 человек на экзамены в Рязань прибыло лишь 2700. Из них после экзаменов по математике, русскому и физподготовке осталось всего 239. Зато после такого отбора про них уж точно можно сказать, что это — лучшие. — Нас, брянских, из 20 человек поступили только трое, — рассказывает Анатолий Соколов. — Брянский военком Игорь Геннадьевич часто звонит мне, интересуется нашими успехами. До этого я срочную служил 2 года в учебном центре ВДВ в Омске. Потом еще 5 лет работал на гражданке дальнобойщиком. Но мне всегда хотелось в армию. И вот когда вдруг позвонили из военкомата с предложением поехать в Рязань, мы с женой сели, подумали и решили: у нас с работой плохо, а в армии порядок, стабильность, да и деньги хорошие предлагают… Правда, поначалу действительно была неразбериха: никто толком не знал, где с нами должны заключать контракт. Были такие, кто его подписал уже в военкомате. Им сразу выплатили тысяч по восемь. А были такие, с кем заключили контракт лишь недавно, уже здесь. — С тобой заключили сразу? — Нет. Нас из Брянска сначала отправили в Таманскую дивизию, сказали, что будем подписывать там. Мы в Подмосковье прожили две недели, несколько раз сдавали физподготовку… — Зачем несколько раз? — Сначала начфизу Тамани. Потом приехали офицеры из ВДВ. Они не поверили нашим результатам, посчитали их завышенными. Пересдали им. Потом нас отправили в Рязань, но контракт так и не заключили. — Интересно, как же военные финансисты отчитывались за проживание в части гражданских людей, за их переезды с места на место? И на что все это время жил ты и твоя семья? — Насчет финансистов не знаю, а мне родители помогали. Жена Светлана и трехлетний сын у меня в Брянске. Я их почти 3 месяца не видел: 2 месяца поступал, а теперь прыжки, подготовка… — И много будешь получать? — Точно не знаю. Но с 1 января нам за выполнение прыжков добавили по 2 тысячи, и тогда, говорят, троечники получат по 10 тысяч, хорошисты — 17, отличники — по 22 тысячи, а по окончании учебы мы вообще будем иметь не менее 35 тысяч. — Семью собираешься сюда привезти? — В январе, думаю… Попробуем снимать квартиру. — Ее Минобороны будет оплачивать? — Нет. Этого не обещали. Считается, видимо, что сержанты — люди высокооплачиваемые и могут себе позволить снять жилье. Однокомнатная квартира в Рязани стоит 7 тысяч, “двушка” — 10—11 тысяч. Еще и на жизнь немного останется. Обычные курсанты, которые тоже живут в казармах и через пять лет выйдут из училища то ли менеджерами, то ли офицерами, не могут себе такого позволить. Они получают по 4,5—6 тысяч, а преподаватель-полковник — 22—25, почти столько же, сколько сержант-отличник, который по выпуску будет иметь больше этого полковника. Ребята-сержанты прекрасно осознают свое материальное преимущество и стараются не жаловаться на быт. Хотя по секрету они все же признались, что казармы на 120—140 человек их не радуют. Неплохо было бы жить в кубриках на 3—4 человека и иметь душевые кабинки с горячей водой. Ведь им приходится много заниматься спортом, а постоянные тренировки и баня раз в неделю плохо совместимы. Но в целом курсанты-сержанты уверены: им крупно повезло, и свою будущую профессию они считают чуть ли не самой перспективной. А все те, кто поначалу куда-то там жаловался, это просто хлюпики и слюнтяи. — Тех, кто на гражданке долго проработал и привык сидеть дома пирожки трескать, не отпустила прежняя свободная жизнь, — рассуждает замкомвзвода старшина Александр Поляков. — Были и такие, кто решил, что можно приехать тут водки попить. Но они ошиблись. А большинство все же не выдержало или психологически, или физически. У нас ведь каждый день подъем в 6.00, а когда прыжки, то и в 4.30. Всюду строем: бегом или шагом… — Но, с другой стороны, — подхватывает командир отделения Павел Луханин, — рабочий день ровно до 18.00. С 9.00 до 14.30 — занятия: тактика, общевоинские уставы, огневая подготовка, военная топография… — Не только, — перебивает Александр, — еще история, русский, математика, физика… Здесь подготовка будет на уровне института, — гордо сообщает он. — Ну да, — соглашается Павел, — затем 14.20—14.50 — обед, самоподготовка, и в 18.00 ты уже свободный человек. Можешь идти куда хочешь: в город, в кино, к друзьям… — Это самое перспективное училище, — словно настоящий замполит убеждает меня Александр Поляков. — Здесь готовят разведчиков, связистов, ремонтников… А если захочешь стать офицером, ушел на год в войска, а потом снова сюда: 1,5—2 года, и ты лейтенант. — Это вы далеко планируете, — остудила я пыл собеседников, — а если глянуть поближе: что для вас будет главным, когда придете в войска? — Главное, убрать из армии солдафонство, пошлость, — не задумываясь ответил Александр. — Нельзя орать на солдата. Надо видеть в нем человека. Пусть хоть 10 раз ему придется что-то повторять, терпения все равно должно хватать. — А еще практика должна быть на высшем уровне, — подхватывает Павел Луханин, — чтоб на полигон для стрельбы выдавали не по 3—4 патрона. Связь чтоб была современной и не приходилось таскать за спиной по 30 кг. Да много что еще важно… Нам вот тут часто рассказывают про наших американских коллег — сержантов. Иногда, бывает, слушаешь — и завидно. А я вот, думаю, главное — это если бы мы сумеем сделать так, чтоб не мы, а они нам завидовали. …Слушая рассуждения этих мальчиков, я думала: не знаю, как там американские сержанты, но их командиры уже сейчас могут позавидовать нашим. Вряд ли их подчиненные смогли бы так же безропотно выдержать всю эту неразбериху с набором, многомесячные повторные экзамены, казарму размером с полковую конюшню, неустроенный быт и четырехмесячное безденежье. Они наверняка стали бы судиться с Пентагоном или трубить на весь мир о нарушении прав человека. Только наши могут все это стерпеть, считая при том, что им крупно повезло. Что ж, возможно, только люди с такой выдержкой и самообладанием смогут добавить по-настоящему яркие штрихи в блеклую и все еще безрадостную картинку “нового облика” нашей армии.",Мне даже нравится. Этого не обещали. Но они ошиблись. 
154,"Бизнесмена расстреляли в субботу на юго-западе столицы. Как стало известно “МК”, жертвой киллера стал 48-летний Гарик Мавсецян. Выходец из кавказской республики проживал с семьей в доме №23 по Ломоносовскому проспекту. В Первопрестольной у мужчины была своя небольшая фирма, занимавшаяся вопросами аренды недвижимости. В первой половине дня 16 января Мавсецян отвез свою дочь в институт на машине “Мицубиси Паджеро”, после чего поехал домой. Главе семьи еще предстояло отвезти супругу к стоматологу. Около 14.40 он припарковал автомобиль и пошел в сторону своего подъезда. На пути у мужчины встал высокий человек в серо-голубом пуховике, джинсах и черной шапке. Неизвестный выстрелил Мавсецяну в голову, после чего затерялся во дворах. Кто-то из местных жителей, увидев раненого, позвонил по “02” и в “скорую помощь”. В тот момент бизнесмен был еще жив. Однако спустя четыре часа мужчина скончался в 1-й городской больнице. По предварительным данным, проблем и конфликтов, связанных с бизнесом, у Мавсецяна не было. При этом убийство уроженца Армении по всем признакам напоминает заказное.",Однако спустя четыре часа мужчина скончался в 1-й городской больнице. Около 14.40 он припарковал автомобиль и пошел в сторону своего подъезда. Выходец из кавказской республики проживал с семьей в доме №23 по Ломоносовскому проспекту. 
155,"С нового года горадминистрация по требованию Федеральной антимонопольной службы (ФАС) отменила проведение спецаукционов, на которых городские площади можно было арендовать по ставке 1000 руб. за кв. м. Чиновники говорят, что данная мера должна произвести отрезвляющий эффект на предпринимателей, использовавших имущественную поддержку в корыстных целях. В начале кризиса малый бизнес получил от московских властей беспрецедентные льготы. Круг предприятий, имеющих право платить за аренду помещений минимальную ставку, расширился за счет победителей аукционов, а сама ставка опустилась на рекордно низкий уровень — 1000 руб. за кв. м без НДС. По словам главы Департамента имущества Владимира Силкина, эта цена едва покрывает расходы города на обслуживание площадей, однако власти сознательно решили пожертвовать доходами ради поддержки реального сектора экономики. “В итоге от предоставления этой льготы бюджет потерял более 7 млрд. руб.”, — говорит Силкин. Предприниматели ответили на добрую волю столичных властей черной неблагодарностью. Многие фирмы, не имевшие ранее свидетельств малого бизнеса, нашли способ попасть в реестр и “раскрутили” бюджет на дополнительные 1,5 млрд. руб. в виде льгот. Начиная с весны 2009 года на спецаукционах для малого бизнеса стали править бал “черные риелторы”, которые предлагали за аренду помещений, которые город выставлял на торги по цене 1 тыс. руб. за кв. м в год, 50—70 тыс. руб. “Эти предприниматели чувствовали себя абсолютно спокойно, поскольку знали, что независимо от итоговой цены будут платить по минимуму”, — отмечает Силкин. По его словам, подавляющее большинство таких договоров были впоследствии перепроданы компаниям, не имеющим статуса малого бизнеса. В целом в руки “черных риелторов” ушло до 70% городских помещений, выставленных на спецаукционы в 2009 году. Однако еще в декабре столичные власти получили предписание ФАС, в котором отмечалось, что участники спецаукционов не имеют права на продление льготы. Департамент имущества уже разослал малому бизнесу уведомления, что с 1 января участники аукционов будут платить за арендуемые площади столько, сколько они сами наторговали. “Мы отдаем себе отчет, что за этим решением последует массовый отказ предприятий от договоров аренды, и готовы к этому. Высвободившиеся площади вновь поступят на рынок, но уже по среднерыночным ценам”, — обещает Силкин. Никаких спецаукционов с минимальной ставкой для малого бизнеса в 2010 году проводить не планируется. Более того, город намерен внедрить ряд ужесточающих мер для отсечения “черных риелторов”: в частности, существенно увеличить размер залога, который вносят участники торгов, а также ввести категорический запрет на изменение профиля арендуемого помещения. Глава Департамента поддержки и развития малого предпринимательства Михаил Вышегородцев заявил “МК”, что новая политика столичных властей произвела отрезвляющее воздействие на малый бизнес. “На последних торгах стоимость аренды городских площадей не поднималась выше 10 тыс. руб. за кв. м. Это значит, что имущественную поддержку города получают те, кому она нужна для развития собственного дела, а не для перепродажи”, — подчеркнул он.",за кв. за кв. за кв. 
156,"Поймать первого вице-премьера РФ в столице Германии было практически нереально. Порой казалось, что он находится одновременно в нескольких местах. Зубков успел пообщаться как на высоком правительственном уровне, так и с поставщиками… семян лука. “Любая проблема требует взвешенного решения”, — не устает повторять Виктор Алексеевич. Тем не менее у первого зампреда Правительства России нашлось несколько минут и для “МК”. — Виктор Алексеевич, вступил в силу российский запрет на ввоз “хлорированного” мяса птицы, по сути прерывающего поставки курятины из США, а это около 75% всей нашей импортной квоты. — 19 января начинаются переговоры с американцами. Очень надеюсь, что американская сторона прислушается к нашей позиции и будет выполнять российские стандарты безопасности, согласованные с европейскими. Но ситуация требует постоянного контроля. Находясь здесь, в Берлине, я проводил консультации с потенциальными экспортерами мяса птицы в Россию. Мы уже привыкли съедать определенный объем этого продукта, и допустить нарушения баланса нельзя. — Иностранцев не пугает, что наши птицеводы сами с усами? — Да, в последнее время российские производители ежегодно прибавляют по 300 тысяч тонн. Более того — такие же объемы планируются на ближайшие два-три года. Но это не должно никак волновать нынешних и будущих экспортеров. Мы не собираемся полностью закрывать импорт мяса птицы в Россию. От этого мы вряд ли что-нибудь выиграем. На рынке должна быть здоровая конкуренция. Монополизм наших крупных компаний может привести к росту цен. Вот посмотрите на хозяев “Зеленой недели”: Германия несколько сотен тысяч тонн мяса птицы экспортирует и примерно столько же импортирует. Это хороший путь. И Россия через год-два начнет экспортировать определенные объемы мяса птицы. Одна ростовская компания уже налаживает поставки индюшатины в арабские страны. Значит, и на внутренний рынок будут больше работать. — В Берлине по традиции обсуждают глобальную продовольственную безопасность. Что еще мы можем предложить миру? — Зерно. И объемы уже устоялись. 2008 год — 23 млн. тонн, 2009-й — порядка 20 млн. тонн. Думаю, что в пределах 30 млн. тонн мы можем экспортировать стабильно. И не только в те страны, которые традиционно ждут от нас зерна, но и в другие. Вы видите, что происходит в мире… Регионам, страдающим от стихийных бедствий, нужны зерно и мука. — В кризисном 2009-м все отрасли так или иначе ушли в минус. Кроме АПК — полпроцента в плюсе. Вы чувствуете свою причастность к этому успеху? — “Рыбу” не забывайте, она тоже в плюсе. Если взять хронологию событий по части правительственных антикризисных шагов — получится, что я принимал в этом непосредственное участие. Успех — хорошо, но больше чувствуется ответственность за доверенные мне участки. У меня же все есть — и выпить, и закусить (кроме сельского хозяйства первый вице-премьер курирует рыболовство, алкоголь и лесной комплекс. — Ю.Ш.). Так вот, обеспечить этим соотечественников — это большая ответственность. — Кто может возглавить “Росагролизинг”? — Я уже подписал директиву по исполняющему обязанности генерального директора компании. Им станет один из заместителей ушедшего из жизни Леонида Орсика. Кандидатуру еще должен одобрить совет директоров, потому фамилию называть пока не буду. Но это дело нескольких дней. Дальше — должно пройти какое-то время. Посмотрим, как справляются со своими обязанностями работающие в этой крупнейшей компании люди. И придем к окончательному решению. Спешить тут нельзя. — Знаю, что вы встречались с министром экономики Германии и проговорили с ним несколько часов кряду. Поделитесь? — Говорили и о глобальных вещах, но интересно, что он просил меня обратить внимание на малый и средний бизнес в России. А на нашей встрече были представители германского среднего бизнеса, которые буквально забросали меня вопросами про возможности взаимодействия с Россией. Говорю, дайте месяц, и уж по тем направлениям, которые я курирую, — переработка сельхозпродукции, лесопереработка и рыбная отрасль — мы сформулируем предложения, соберемся в Москве потом и обсудим. К примеру, лес. Им нужны паллеты. А у нас 7 млн. кубов отходов только на северо-западе. Они готовы переработать и доставить готовые паллеты в Европу. Или, говорю, у нас 4 млн. тонн рыбы, которую надо переработать и привезти в Россию или еще куда-нибудь. Отвечают, что и это интересует. А уж про сельское хозяйство… Берлин.",А уж про сельское хозяйство… Берлин. Спешить тут нельзя. А у нас 7 млн. 
