,text,summary
100,"Не исключено, что в ближайшие же дни многие россияне, доставая кошельки и бумажники в супермаркетах и кассах, испытают некоторые неудобства. Из-за того, что Банк России разработал уточнения к определению ветхости купюр, которые должны изыматься из обращения. Какие бумажные деньги вскоре станут считать ветхими? С оборванными углами (хватит и одного), если площадь оторванного куска превысит 32 кв. мм. Под критерии подойдет купюра с оторванным куском 7х5 мм, 6х6 мм и т.д. Если из-за оторванного края — не важно, по длине или ширине, — размеры банкноты уменьшатся на 5 мм и более, то она также будет ветхой. Из оборота будут также изымать купюры, имеющие посторонние штампы (начиная с одного), и посторонние надписи (здесь, правда, если проект реализуется в нынешнем виде, отсчет пойдет от трех знаков или символов). Зато разрывам краев банкноты и сквозным дыркам объявят войну даже при наличии в единственном числе. Главное, чтобы разрыв был длиной более 7 мм, а диаметр дырки составил хотя бы 4 мм. Та же самая ситуация и с пятнами: хватит и одного пятна, если его диаметр дотянет до половины сантиметра. Заклеенные лентой разрывы на бумажных деньгах тоже не спасут их от исключения из обращения. Ветхими признают бумажки, загрязнение которых снизит яркость изображения на 8% и более, а также обесцветившиеся или потертые (к примеру, после стирки). Но волноваться особенно не стоит, поскольку ветхие купюры остаются такими же полноправными средствами платежа, как и их целые собратья. Просто придется ветхие бумажки по номиналу обменять в банке. Так что для собственного удобства лучше постараться их нигде не брать.","Заклеенные лентой разрывы на бумажных деньгах тоже не спасут их от исключения из обращения. Главное, чтобы разрыв был длиной более 7 мм, а диаметр дырки составил хотя бы 4 мм. Просто придется ветхие бумажки по номиналу обменять в банке. "
101,"Одиннадцать бесконечных часов Елена Павловна Белякова металась, не зная, что с дочерью и где она. Морги, больницы… Набрала той самой Кате Барановой, с которой якобы ушла Аня — та ответила что-то невразумительное. — Это был кошмар. Дочь пропала, а люди, с которыми она общалась, делают вид, что чуть ли не в первый раз про Аню слышат… Я побежала к соседу, который работает в правоохранительных органах. Тут раздается странный звонок: “Я — адвокат вашей дочери. Захватите все деньги, которые есть в доме, и подъезжайте на “Октябрьскую”. Сосед просек: “Похоже на похищение. Сейчас организуем вам, Елена Павловна, группу захвата”. Прибыли люди в масках, ее саму обвесили датчиками, пометили купюры, просили не волноваться. В голове одна мысль: “Слава богу, все-таки Анька жива”. …Адвокат оказался с ксивой, которую он по первому требованию предъявил группе захвата: “Все в порядке. Анна Ивановна Белякова задержана 3-м отделом УФСКН Москвы за сбыт наркотиков, 0,9 грамма гашиша, доза сверхмалая, но уголовное дело уже возбуждено”. Дочь встретила ее в камере предварительного заключения. Взгляд мутный, ноги-руки дрожат, по телу синяки, вся мокрая. Обмочилась под себя. “Она просила дать ей лекарства, но ей не поверили, говорили, что она под кайфом”, — объясняет мать. — Знаете, 22 ноября была контрольная закупка в этом клубе — широко освещавшаяся, кстати, в прессе и на ТВ, — пояснил защитник. — Ваша Аня была арестована с поличным”. Князь Дмитрий) (22:28:45 26/11/2008) Ты звезда прям тепер… Пфпфпфф :) Центральные новости. 24 ноября, 15.22 Сотрудники наркоконтроля провели рейд по ночным клубам Москвы. Поймать наркоторговца, признают оперативники, задача непростая. Он редко теряет бдительность и при первой же опасности избавляется от товара. Сколько бы ни отдал за наркотик, знает — свобода дороже. “Нами была получена информация о готовящихся преступлениях, — рассказал заместитель начальника 3-го отдела УФСКН России по ЦАО Москвы Игорь Зуихин. — Мы провели оперативно-разыскное мероприятие — проверочную закупку”. “Меня обвиняют в том, чего не было”, — заявила задержанная Анна Белякова. Анна не знала, что ребята, которые полчаса назад купили у нее гашиш, были не обычными посетителями клуба, а оперативными работниками, подготовившимися к этой операции. — Слушай, я Тимуру подарок приготовила — но стесняюсь передать, можно через тебя? — в клубе Катя протянула Ане маленький пакетик, который на ощупь был похож на пачку сигарет. — Давай, — Аня взяла пакет и положила его в карман кофты. Ничего странного в просьбе подруги, если честно, она не нашла. — Пришел Тимур, Катя шепнула мне: “Отдай, что я просила”. Тимур всучил мне в обратную деньги. “А это Кате”. Я протянула купюры подруге, но та сказала, что у нее заняты руки. Не могла же я бросить деньги на пол… В этот момент к нам подошли люди и сказали, что они снимают кино о профилактике наркомании, а у меня хотят взять интервью. Я сказала: “Как здорово!” Мы прошли в комнату, там было произведено задержание… В пакетике оказался гашиш. Посмотрев Анин паспорт с питерской пропиской, оперативники потерли руки. “Они сказали, что, наверное, я — питерский барыга. Так это и прошло по СМИ. Хотя я в Питере не была много лет”. Согласно показаниям Тимура, который на самом деле был вовсе не Тимур, а Левон Зурабович Лемонджава, в 3-й отдел УФСКН поступила информация от неких агентов о том, что есть девица из Питера по кличке Ксения-Анна. Надо совершить у нее контрольную закупку гашиша помеченными купюрами. Левон-Тимур разыграл операцию как по нотам. Самое удивительное, что никаких следов Димы и Кати Барановой в деле не обнаружилось. Эти ребята, “добровольные помощники УФСКН”, существовали только в Интернете. Красная Шапочка Аня",Хотя я в Питере не была много лет”. Так это и прошло по СМИ. “А это Кате”. 
102,"Эти средства, находившиеся на расчетном счете комитета по финансам и налоговой политике администрации Серпуховского муниципального района, своим постановлением передал на расчетный счет РКЦ МВД 14 декабря прошлого года следователь 2-го отдела СЧ ГСУ А.В.Кудаков. Администрация обратилась в суд с жалобой и требованием признать постановление следователя незаконным, поскольку постановление суда, которым он руководствовался, не вступило в силу и к тому же данный арест повлек бы за собой прекращение финансирования расходов (зарплат, содержания учреждений культуры, образования, здравоохранения и т.д.). В результате суд счел, что следователь не имел права выносить подобное постановление и превысил свои полномочия, и признал постановление незаконным. Напомним, ранее глава администрации Серпуховского района Александр Шестун помог с поличным задержать за получение взятки в 5 млн. рублей бывшего серпуховского прокурора Абросимова и обратился к президенту, рассказав в видеороликах о коррупции в правоохранительных органах.","Эти средства, находившиеся на расчетном счете комитета по финансам и налоговой политике администрации Серпуховского муниципального района, своим постановлением передал на расчетный счет РКЦ МВД 14 декабря прошлого года следователь 2-го отдела СЧ ГСУ А.В.Кудаков. Администрация обратилась в суд с жалобой и требованием признать постановление следователя незаконным, поскольку постановление суда, которым он руководствовался, не вступило в силу и к тому же данный арест повлек бы за собой прекращение финансирования расходов (зарплат, содержания учреждений культуры, образования, здравоохранения и т.д.). рублей бывшего серпуховского прокурора Абросимова и обратился к президенту, рассказав в видеороликах о коррупции в правоохранительных органах. "
103,"Новый законопроект о лекарственных средствах (ЛС) поднял волну негодования. Разрабатывали его, конечно, с благой целью — навести порядок на фармрынке. Но на деле он может поставить крест на бесплатном лекарственном обеспечении россиян. Так считают защитники пациентов и фармэксперты, которые призвали Минздравсоцразвития одуматься и не лишать людей права на здоровье. Согласно недавнему опросу ВЦИОМ, системой лекарственного обеспечения недовольны 64% россиян — за 4 года действия нацпроекта “Здоровье” таких стало в два раза больше. Раньше Правительство РФ хотело разработать систему лекарственного страхования, аналогичную той, что действует в развитых странах, — она позволила бы сделать лекарства более доступными. Но вместо нее появился наделавший шуму законопроект. В нем вообще нет ни слова о том, что в стране должно быть бесплатное и льготное лекарственное обеспечение. Зато красной нитью проходит мысль о том, что нужно регистрировать отпускные цены на жизненно необходимые лекарственные препараты (ЖНВЛС). Если кто-то не успеет зарегистрировать цену на такой препарат — в стране его просто не будет. Ни в госзакупках, ни в аптеках. — О каких ценах на ЖНВЛС вообще может идти речь? Они должны быть бесплатными! — возмущается председатель Общественного совета по правам пациентов при Росздравнадзоре Александр Саверский. К тому же, если государство зарегистрирует отпускную цену, снизить ее потом уже будет невозможно, что противоречит законам рынка. А между тем цены на антиретровирусные препараты для лечения СПИДа за последние годы сами по себе упали в 12 раз! Любопытны и положения закона о проведении клинических исследований новых препаратов. Оказывается, это могут делать только их производители. При этом проверку эффективности и безопасности лекарственных средств должен проводить некий государственный эксперт, получающий деньги от... их разработчика. Это, кстати, у нас давно практикуется. Итог: Россия наводнена препаратами, не зарегистрированными более нигде. Например, у нас разрешен препарат австрийской фирмы, запрещенный в самой Австрии. А с 2003 года зарегистрирован как лекарство от всех видов онкологии некий китайский растительный препарат с не доказанной нигде в мире эффективностью. Также закон резко расширяет возможности проведения клинических исследований на детях и психических больных (за последних решение должен принимать их опекун, которым в интернатах является главврач). — Этим законом нас хотят как стадо баранов загнать в платную медицину, — считает зампред Формулярного комитета РАМН, президент Общества фармакологических исследований Павел Воробьев. По его словам, ни в одной стране не регистрируют отпускные цены на лекарства — там их либо оплачивает государство, либо выдают за символическую цену в рамках страховой медицины. — Мы дикая страна, которая торгует лекарствами и здоровьем своих пациентов! — считает г-н Воробьев. — Государство решило вообще сбросить с себя эту социальную функцию — обеспечение лекарствами. Ее хотят отдать в руки субъектов Федерации, у большинства из которых нет денег на дорогостоящие препараты. А недавно у нас сократили перечень ЖНВЛС — по данным Формулярного комитета, из него исчезли 200 препаратов для лечения многих серьезных заболеваний. “Этот закон явно не в интересах пациентов”, — подытожили “МК” эксперты. Но они сильно сомневаются, что власти откажутся от принятия столь “взяткоемкого” и “усиливающего коррупцию” закона. “Экспертов у нас не слышат и слышать не хотят”, — говорят защитники пациентов.","Но вместо нее появился наделавший шуму законопроект. Это, кстати, у нас давно практикуется. Новый законопроект о лекарственных средствах (ЛС) поднял волну негодования. "
104,"С этого года все вновь возводимые в мегаполисе образовательные учреждения должны стать удобными для ребят с проблемным здоровьем. Как сообщили “МК” в мэрии Москвы, планируется разработать новые типовые проекты как общеобразовательных школ, так и детских садов. Главной задачей для архитекторов станет создание комфортной среды в зданиях для детей с ограниченными физическими возможностями. Они должны будут предусмотреть пандусы, специальные лифты, подъемники и другие приспособления для инвалидов. До конца января чиновники от образования должны выдать Москомархитектуре технические задания на разработку новых типов школ и детсадов. Архитекторы к началу апреля выберут лучшие варианты проектов образовательных учреждений так называемого инклюзивного типа. А существующие проекты школ и детских садов будут скорректированы в соответствии с новыми условиями.","С этого года все вновь возводимые в мегаполисе образовательные учреждения должны стать удобными для ребят с проблемным здоровьем. Как сообщили “МК” в мэрии Москвы, планируется разработать новые типовые проекты как общеобразовательных школ, так и детских садов. До конца января чиновники от образования должны выдать Москомархитектуре технические задания на разработку новых типов школ и детсадов. "
105,"А если человека поймают с 30 граммами, провести в местах не столь отдаленных ему придется не один год. Как сообщили “МК” в аппарате Белого дома, список наркотических средств и психотропных веществ, оборот которых в России запрещен, дополнен почти тремя десятками позиций. В основном это сложные производные от нескольких видов наркотических веществ. Есть в списке и наиболее сильный из растительных галлюциногенов сальвинорин А (по силе в 10 раз превосходит псилоцибин и по активности приближается к полусинтетическому LSD). Попали сюда также скандально известные составляющие курительных смесей — семена розы гавайской, цветки и листья голубого лотоса, лист шалфея предсказателей. Примечательно, что утверждены и дозировки, за которые предусмотрено уголовное преследование. Для лотоса, розы и шалфея крупным размером считается 3 грамма (количество определяется после высушивания при температуре +110—115 градусов), особо крупным — 30 г. Нельзя также выращивать у себя в огороде или дома больше 9 растений этих трех видов.","Для лотоса, розы и шалфея крупным размером считается 3 грамма (количество определяется после высушивания при температуре +110—115 градусов), особо крупным — 30 г. Нельзя также выращивать у себя в огороде или дома больше 9 растений этих трех видов. Как сообщили “МК” в аппарате Белого дома, список наркотических средств и психотропных веществ, оборот которых в России запрещен, дополнен почти тремя десятками позиций. А если человека поймают с 30 граммами, провести в местах не столь отдаленных ему придется не один год. "
106,"Парень случайно провалился в полуоткрытый колодец, заметенный снегом. Как сообщили “МК” в правоохранительных органах, несколько дней назад 22-летний житель Каширы, страдающий генетическим заболеванием, на ночь глядя отправился в гости к бабушке. Пенсионерка жила в соседнем доме, поэтому родители не побоялись отпустить сына по знакомому маршруту. Накануне выпало много снега, и по всему городу работали снегоуборочные машины. Одна из таких машин нечаянно сдвинула крышку с канализационного люка, который как раз находился на пути юноши. Молодой человек не заметил западню, заметенную снегом, и внезапно провалился вниз. Выбраться наверх он не смог и принялся ждать подмогу. Однако через несколько часов снег завалил входное отверстие. Тревогу подняли родители. Хватившись сына, они сразу обратились в милицию. Стражи порядка начали прочесывать улицы, но из-за большого снегопада отыскать следы было практически невозможно. Заложника канализации обнаружили случайно. На следующий день ближе к обеду местные жители услышали какие-то странные звуки, доносившиеся из-под земли. Они разгребли сугробы и увидели человека, который находился в колодце. Прибывшие милиционеры вызволили парня и отправили юношу в больницу. Медики обследовали пациента и пришли к выводу, что он не только не получил никаких повреждений, но даже не переохладился.","Заложника канализации обнаружили случайно. Хватившись сына, они сразу обратились в милицию. Одна из таких машин нечаянно сдвинула крышку с канализационного люка, который как раз находился на пути юноши. "
107,"Чиновник подозревается в мздоимстве. Как стало известно “МК”, Лысенков также являлся начальником административно-хозяйственной службы военного предприятия 502-й завод по ремонту военно-технического имущества и заместителем председателя жилищной комиссии этого же завода. Некоторое время назад местными властями был подписан указ о сносе аварийного общежития, в котором проживали сотрудники завода. Всех жильцов предполагалось расселить в новые квартиры. На этом и решил нажиться зампредседателя. В ДЭБ МВД РФ пояснили, что чиновник обратился к одной из сотрудниц предприятия, которую ожидало новоселье, и сообщил той, что квартиру она может получить только при его содействии. За денежное вознаграждение он обещал даме включить ее фамилию в список лиц на распределение жилых помещений, а также ускорение оформления соответствующих документов. Пока женщина раздумывала над предложением, ей выделили квартиру. Впрочем, хитрый вымогатель тут же изменил тактику: сообщил гражданке, что это он поспособствовал ее новоселью и потребовал за свои “хлопоты” 200 тыс. рублей. Дама обратилась в милицию. Вскоре Лысенкова задержали с поличным.",Вскоре Лысенкова задержали с поличным. Дама обратилась в милицию. Чиновник подозревается в мздоимстве. 
108,"Приспособления будут контролировать, какую песню, когда и сколько раз крутили в питейном заведении. Как сообщила “МК” представитель Федерации рестораторов и отельеров России Мария Орлова, пока “счетчики” установят в качестве эксперимента примерно в полусотне ресторанов по всей стране. Если устройства хорошо себя зарекомендуют, то они появятся во всех питейных заведениях. При этом рестораны должны будут подписать лицензионные соглашения с организациями, представляющими интересы авторов — РАО и ВОИС. До сих пор питейные заведения платили конкретные месячные ставки за использование музыкальных произведений (рассчитываются по метражу). При этом не учитывалось, сколько раз песни в действительности исполнялись. Между тем бывали случаи, когда музыка звучала редко по объективным причинам (мало посетителей, какие-то залы отданы под семинары и т.д.). В итоге руководители заведений, по их мнению, часто переплачивали. Новые “счетчики” будут небольшими по размеру и удобными в использовании (их надо только подключить к компьютеру). Устройство записывает всю информацию о музыке — в чьем исполнении, в какой аранжировке, в какое время и сколько раз звучала и т.д. Вмешаться в эту “песенную” отчетность человек не может. Примечательно, что представители РАО не очень одобряют идею внедрения “счетчиков”, поскольку считают, что они не могут учесть живую музыку. В ответ на это во ФРиО предлагают, чтобы за такие выступления с авторами рассчитывались не рестораны, а сами артисты.","Как сообщила “МК” представитель Федерации рестораторов и отельеров России Мария Орлова, пока “счетчики” установят в качестве эксперимента примерно в полусотне ресторанов по всей стране. В итоге руководители заведений, по их мнению, часто переплачивали. Приспособления будут контролировать, какую песню, когда и сколько раз крутили в питейном заведении. "
109,"Размер ежемесячного пособия не будет зависеть от степени ограничения трудоспособности. Как сообщили “МК” в Минздравсоцразвития РФ, изменен порядок осуществления ежемесячной денежной выплаты, назначаемой в соответствии с федеральным законом о монетизации льгот. С 1 января 2010 года ее станут выплачивать без проведения дополнительного переосвидетельствования. Размер компенсации будет устанавливаться применительно к группе инвалидности, а не к степени ограничения способности к трудовой деятельности. Изменен также порядок перерасчета назначенной выплаты. Теперь ее размер станут пересматривать только в случаях, когда человеку установили более высокую или низкую группу инвалидности. Как будут выплачивать ежемесячные пособия: по I группе инвалидности — инвалидам I группы независимо от имеющейся степени ограничения способности к трудовой деятельности и не имеющим степени ограничения, а также инвалидам II и III группы, имеющим ограничения способности к трудовой деятельности III степени; по II группе инвалидности — инвалидам II группы, имеющим ограничения способности к трудовой деятельности II или I степени, не имеющим степени ограничения, а также инвалидам III группы, имеющим ограничения способности к трудовой деятельности II степени; по III группе инвалидности — инвалидам III группы, имеющим ограничения способности к трудовой деятельности I степени, и инвалидам III группы, не имеющим степени ограничения.","Как будут выплачивать ежемесячные пособия: по I группе инвалидности — инвалидам I группы независимо от имеющейся степени ограничения способности к трудовой деятельности и не имеющим степени ограничения, а также инвалидам II и III группы, имеющим ограничения способности к трудовой деятельности III степени; по II группе инвалидности — инвалидам II группы, имеющим ограничения способности к трудовой деятельности II или I степени, не имеющим степени ограничения, а также инвалидам III группы, имеющим ограничения способности к трудовой деятельности II степени; по III группе инвалидности — инвалидам III группы, имеющим ограничения способности к трудовой деятельности I степени, и инвалидам III группы, не имеющим степени ограничения. Размер компенсации будет устанавливаться применительно к группе инвалидности, а не к степени ограничения способности к трудовой деятельности. Размер ежемесячного пособия не будет зависеть от степени ограничения трудоспособности. "
